record_sets_bond	123
	31802	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record - Massillon Independent: The GuardianMorning Jolt: &#39;Skyfall&#39; sets
	32134	ly/Unwx1S&nbsp; Latinos Post &#39;Skyfall&#39; Sets Bond Box Office Record and Takes The Top Spot http://Gather
	32163	ly/Unwx1S&nbsp; Latinos Post &#39;Skyfall&#39; Sets Bond Box Office Record and Takes The Top Spot http://Gather
	32178	&#39;Skyfall&#39; sets Bond franchise record http://usat
	32205	&#39;Skyfall&#39; sets Bond franchise record http://usat
	33477	‘Skyfall’ sets record at box office: In its first weekend in area theaters, “Skyfall” blew all previous Bond fil
	33478	‘Skyfall’ sets record at box office: In its first weekend in area theaters, “Skyfall” blew all previous Bond fil
	33484	‘Skyfall’ Sets Bond Box Office Record and Takes The Top Spot: Fresh from setting box-office records in his Briti
	33490	‘Skyfall’ sets record at box office: In its first weekend in area theaters, “Skyfall” blew all previous Bond fil
	33491	‘Skyfall’ sets record at box office: In its first weekend in area theaters, “Skyfall” blew all previous Bond fil
	33497	‘Skyfall’ Sets Bond Box Office Record and Takes The Top Spot: Fresh from setting box-office records in his Briti
	33869	‘Skyfall’ Sets Bond Box Office Record and Takes The Top Spot: Fresh from setting box-office records in his Briti
	33897	‘Skyfall’ Sets Bond Box Office Record and Takes The Top Spot: Fresh from setting box-office records in his Briti
	34205	Headline @USATODAY: &#39;Skyfall&#39; sets Bond franchise record http://usat
	34253	‘Skyfall’ Sets Bond Box Office Record and Takes The Top Spot - http://bit
	34472	Box Office Report: Skyfall Sets a Bond Record: Skyfall started off its domestic release on a high note, claiming
	34544	‘Skyfall’ sets record at box office: In its first weekend in area theaters, “Skyfall” blew all previous Bond fil
	34546	‘Skyfall’ sets record at box office: In its first weekend in area theaters, “Skyfall” blew all previous Bond fil
	34950	Weekend box office: &#39;Skyfall&#39; sets a Bond film record with $87
	34974	Weekend box office: &#39;Skyfall&#39; sets a Bond film record with $87
	35418	Box Office Report: &#39;Skyfall&#39; Sets James Bond Franchise Record - http://RollingStone
	35431	ENT: #Movies 007&#39;s Skyfall sets record for Bond franchise
	35566	&#39;Skyfall&#39; Sets New Record for Highest Bond Opening http://shar
	35592	&#39;Skyfall&#39; Sets New Record for Highest Bond Opening http://shar
	35923	&#39;Skyfall&#39; sets Bond franchise record http://dlvr
	36268	Box Office Report: &#39;Skyfall&#39; Sets James Bond Franchise Record 
	36340	Box Office Report: &#39;Skyfall&#39; Sets James Bond Franchise Record 
	36622	Skyfall sets James Bond film box office record in U
	36623	Skyfall sets James Bond film box office record in U

